"消費者物價基本分類指數-月 依 期間, 種類 與 基本分類"

" ","原始值"," "," "," "," "," "," "
" ","一.食物類","二.衣著類","三.居住類","四.交通及通訊類","五.醫藥保健類","六.教養娛樂類","七.雜項類"
"1982M01",43.31,92.32,65.43,89.01,49.53,42.17,62.39
"1982M02",43.15,92.35,65.47,88.70,49.55,42.22,60.63
"1982M03",43.42,92.31,65.52,88.72,49.56,42.25,60.49
"1982M04",43.66,92.42,65.55,88.72,49.55,42.26,60.56
"1982M05",44.31,92.73,65.56,88.72,49.59,42.36,60.37
"1982M06",44.53,92.73,65.60,88.81,49.64,42.38,60.22
"1982M07",44.43,92.60,65.63,88.93,49.62,42.38,60.36
"1982M08",47.67,92.59,65.74,88.98,49.62,42.41,60.49
"1982M09",46.14,92.59,65.98,89.03,49.59,43.74,60.98
"1982M10",45.18,92.76,66.11,89.15,49.56,43.81,60.91
"1982M11",44.16,92.83,66.37,89.15,49.57,43.81,60.94
"1982M12",44.48,92.88,66.52,89.27,49.57,43.80,61.03
"1983M01",44.32,92.85,66.94,89.37,49.56,43.81,61.19
"1983M02",45.18,92.88,67.18,89.59,49.51,43.85,61.94
"1983M03",45.83,92.87,67.06,89.00,49.50,43.95,61.20
"1983M04",46.53,92.87,66.82,87.99,49.50,43.95,61.27
"1983M05",45.68,92.86,66.89,87.97,49.49,43.97,61.37
"1983M06",46.52,92.96,66.90,87.96,49.50,43.99,61.36
"1983M07",45.21,92.97,66.97,87.91,49.50,43.99,61.36
"1983M08",45.09,92.96,67.07,87.94,49.53,44.13,61.33
"1983M09",45.31,93.13,67.13,87.97,49.47,44.57,61.30
"1983M10",45.13,93.77,67.27,88.04,49.64,44.61,61.18
"1983M11",44.15,94.02,67.29,88.04,49.67,44.61,61.02
"1983M12",42.62,94.04,67.30,88.04,49.73,44.60,61.09
"1984M01",42.67,94.03,67.35,88.05,49.74,44.60,61.40
"1984M02",43.52,93.86,67.42,88.52,49.74,44.66,62.61
"1984M03",43.91,94.23,67.45,88.17,49.74,44.74,61.74
"1984M04",44.05,94.47,67.48,88.85,49.74,44.75,61.74
"1984M05",45.21,94.77,67.56,90.09,49.75,44.76,61.83
